Year,District,TotalCrimes,MostFrequentCrime,CrimeCount,DistrictIndex
2014,Topanga,1,BURGLARY,1,4.832896327823753e-06
2018,Central,1,BURGLARY,1,0.0
2020,77th Street,13279,ASSAULT,4012,0.5686015090360735
2020,Central,11505,ASSAULT,3055,0.11646332040679357
2020,Devonshire,7936,THEFT,2627,0.08071908777321181
2020,Foothill,7041,THEFT,1573,0.07469772385154955
2020,Harbor,8830,ASSAULT,2027,0.13486673035549374
2020,Hollenbeck,7780,ASSAULT,1846,0.24395279887635885
2020,Hollywood,10105,THEFT,2691,0.3684405076064649
2020,Mission,8418,THEFT,1907,0.16388278029529124
2020,N Hollywood,10123,THEFT,2886,0.21685410564239213
2020,Newton,9949,ASSAULT,2515,0.4946515176411497
2020,Northeast,8411,THEFT,2325,0.14071338220650187
2020,Olympic,9600,ASSAULT,2270,0.7439609483918039
2020,Pacific,11505,THEFT,3520,0.21767272109317007
2020,Rampart,8988,ASSAULT,2342,0.786856045226371
2020,Southeast,10766,ASSAULT,3256,0.5578372977822678
2020,Southwest,11132,ASSAULT,2804,0.43905764324543356
2020,Topanga,8080,THEFT,2503,0.12133741526108299
2020,Van Nuys,8736,THEFT,2522,0.24231114568368425
2020,West LA,9269,THEFT,3004,0.07053871627995358
2020,West Valley,8051,THEFT,2199,0.11761161434990625
2020,Wilshire,9205,THEFT,2596,0.38146713954777345
2021,77th Street,13028,ASSAULT,3756,0.5579343740738871
2021,Central,13127,ASSAULT,3258,0.13283728422042715
2021,Devonshire,8455,THEFT,2655,0.08602844111747128
2021,Foothill,7010,THEFT,1814,0.07447322189240453
2021,Harbor,8810,ASSAULT,2044,0.1345460139405392
2021,Hollenbeck,7963,ASSAULT,1911,0.2496488674735909
2021,Hollywood,12058,THEFT,3163,0.43935321618872175
2021,Mission,8175,THEFT,2104,0.15924595330423097
2021,N Hollywood,10890,THEFT,3224,0.2331024861873279
2021,Newton,9863,ASSAULT,2632,0.49030426894602874
2021,Northeast,9309,THEFT,2713,0.15548325444924305
2021,Olympic,10797,THEFT,2582,0.8366031805495561
2021,Pacific,12861,THEFT,4028,0.24312015961511702
2021,Rampart,9421,ASSAULT,2425,0.8247260811418985
2021,Southeast,10372,ASSAULT,3038,0.5374954417504979
2021,Southwest,11364,ASSAULT,2757,0.448246653106883
2021,Topanga,8557,THEFT,2843,0.12830341555664165
2021,Van Nuys,8667,THEFT,2609,0.2403234634267332
2021,West LA,9879,THEFT,3201,0.07509816754485463
2021,West Valley,8515,THEFT,2385,0.12424458453817495
2021,Wilshire,9719,THEFT,2854,0.4026040520176613
2022,77th Street,14479,ASSAULT,3739,0.620125941846664
2022,Central,17622,THEFT,4324,0.17812560306718822
2022,Devonshire,9498,THEFT,3454,0.09624348157069991
2022,Foothill,7819,THEFT,2619,0.08251746606091762
2022,Harbor,9133,THEFT,2113,0.13947954147868824
2022,Hollenbeck,8488,THEFT,2157,0.2661233737395134
2022,Hollywood,12486,THEFT,3460,0.45487028534274476
2022,Mission,9236,THEFT,2938,0.1794917018168452
2022,N Hollywood,11149,THEFT,3577,0.23846665238123288
2022,Newton,11892,THEFT,2950,0.5911154467473696
2022,Northeast,10135,THEFT,3194,0.1690126753001654
2022,Olympic,12007,THEFT,3103,0.9302818835329659
2022,Pacific,12965,THEFT,4556,0.24488957485118507
2022,Rampart,11160,THEFT,3062,0.9769419043818229
2022,Southeast,11668,ASSAULT,3113,0.604682660299076
2022,Southwest,13343,THEFT,4074,0.5261606891352056
2022,Topanga,9426,THEFT,3332,0.14112775330888755
2022,Van Nuys,9661,THEFT,3128,0.26760674897312936
2022,West LA,10466,THEFT,3911,0.07926910621945336
2022,West Valley,10236,THEFT,3121,0.14889775681195946
2022,Wilshire,11120,THEFT,3968,0.460089892191909
2023,77th Street,13843,ASSAULT,3842,0.5928313743291168
2023,Central,16848,ASSAULT,3841,0.17026874976785705
2023,Devonshire,9672,THEFT,3486,0.09799822567613078
2023,Foothill,7105,THEFT,1895,0.07527825049909476
2023,Harbor,9057,THEFT,2048,0.13841168920260458
2023,Hollenbeck,8344,THEFT,2007,0.2616581483581104
2023,Hollywood,11385,THEFT,3309,0.41480672330772567
2023,Mission,8931,THEFT,2534,0.17376556887855685
2023,N Hollywood,11487,THEFT,3629,0.24567568772398315
2023,Newton,11863,ASSAULT,2926,0.5896214348763823
2023,Northeast,9653,THEFT,3057,0.16101644724236233
2023,Olympic,11666,THEFT,2801,0.9039064719394961
2023,Pacific,13653,THEFT,5270,0.25769239208305095
2023,Rampart,11425,THEFT,3013,1.0
2023,Southeast,11208,ASSAULT,3203,0.5807861985576537
2023,Southwest,13030,THEFT,3358,0.5139272682638827
2023,Topanga,9594,THEFT,3664,0.14349717372597962
2023,Van Nuys,9892,THEFT,3323,0.27391072710699144
2023,West LA,10513,THEFT,4365,0.07947727328116087
2023,West Valley,9881,THEFT,2712,0.14397989622606194
2023,Wilshire,11636,THEFT,4277,0.48134884421566493
