Year,District,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_0_WeaponPercentage,Hour_1_WeaponPercentage,Hour_2_WeaponPercentage,Hour_3_WeaponPercentage,Hour_4_WeaponPercentage,Hour_5_WeaponPercentage,Hour_6_WeaponPercentage,Hour_7_WeaponPercentage,Hour_8_WeaponPercentage,Hour_9_WeaponPercentage,Hour_10_WeaponPercentage,Hour_11_WeaponPercentage,Hour_12_WeaponPercentage,Hour_13_WeaponPercentage,Hour_14_WeaponPercentage,Hour_15_WeaponPercentage,Hour_16_WeaponPercentage,Hour_17_WeaponPercentage,Hour_18_WeaponPercentage,Hour_19_WeaponPercentage,Hour_20_WeaponPercentage,Hour_21_WeaponPercentage,Hour_22_WeaponPercentage,Hour_23_WeaponPercentage,Hour_0_MostUsedWeapon,Hour_1_MostUsedWeapon,Hour_2_MostUsedWeapon,Hour_3_MostUsedWeapon,Hour_4_MostUsedWeapon,Hour_5_MostUsedWeapon,Hour_6_MostUsedWeapon,Hour_7_MostUsedWeapon,Hour_8_MostUsedWeapon,Hour_9_MostUsedWeapon,Hour_10_MostUsedWeapon,Hour_11_MostUsedWeapon,Hour_12_MostUsedWeapon,Hour_13_MostUsedWeapon,Hour_14_MostUsedWeapon,Hour_15_MostUsedWeapon,Hour_16_MostUsedWeapon,Hour_17_MostUsedWeapon,Hour_18_MostUsedWeapon,Hour_19_MostUsedWeapon,Hour_20_MostUsedWeapon,Hour_21_MostUsedWeapon,Hour_22_MostUsedWeapon,Hour_23_MostUsedWeapon
2014,Topanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2018,Central,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020,77th Street,586,417,372,298,256,204,272,360,482,422,539,552,779,598,673,697,669,801,798,723,780,702,705,594,50.170648464163826,56.35491606714629,56.72043010752689,44.63087248322148,47.65625,41.17647058823529,43.38235294117647,44.44444444444444,41.90871369294606,46.44549763033176,47.680890538033395,53.985507246376805,47.625160462130935,52.84280936454849,55.86924219910847,51.64992826398852,53.36322869955157,50.06242197253433,47.4937343358396,53.665283540802214,49.871794871794876,51.13960113960114,52.34042553191489,51.178451178451176,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Central,440,389,346,263,218,232,256,319,454,430,500,502,735,505,609,601,607,581,641,662,596,589,563,467,52.72727272727272,50.38560411311054,53.179190751445084,49.42965779467681,52.752293577981646,47.41379310344828,40.234375,49.52978056426332,45.37444933920705,49.30232558139535,44.4,45.21912350597609,36.3265306122449,43.960396039603964,41.70771756978653,43.09484193011647,42.50411861614498,41.13597246127367,42.12168486739469,38.368580060422964,37.41610738255034,46.349745331069606,44.760213143872114,53.96145610278372,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Devonshire,281,201,186,136,137,143,175,198,287,241,359,336,677,375,421,460,453,504,510,415,428,421,288,304,30.96085409252669,34.32835820895522,37.096774193548384,26.47058823529412,29.1970802919708,22.377622377622377,24.0,23.232323232323232,23.34494773519164,25.311203319502074,31.197771587743734,25.595238095238095,21.56573116691285,32.0,25.415676959619955,26.304347826086953,27.373068432671083,25.595238095238095,23.52941176470588,28.915662650602407,29.906542056074763,36.57957244655582,35.41666666666667,33.223684210526315,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Foothill,229,196,165,126,120,113,155,179,260,255,306,280,529,310,307,399,377,432,464,404,441,366,361,267,40.174672489082965,45.40816326530612,38.78787878787879,38.095238095238095,40.833333333333336,25.663716814159294,30.32258064516129,28.49162011173184,36.15384615384615,31.76470588235294,34.64052287581699,37.142857142857146,26.08695652173913,30.967741935483872,30.618892508143325,38.59649122807017,37.6657824933687,38.425925925925924,29.094827586206897,38.613861386138616,38.54875283446712,41.80327868852459,38.78116343490305,43.445692883895134,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Harbor,448,253,209,231,185,167,190,215,251,283,344,313,552,350,417,459,456,515,604,509,526,467,456,430,34.375,37.15415019762846,38.27751196172249,32.467532467532465,29.18918918918919,25.748502994011975,25.789473684210527,35.81395348837209,25.89641434262948,36.74911660777385,34.30232558139535,34.82428115015975,29.71014492753623,38.285714285714285,34.05275779376499,29.411764705882355,32.23684210526316,31.456310679611647,31.62251655629139,37.721021611001966,36.50190114068441,39.186295503211994,41.00877192982456,45.348837209302324,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Hollenbeck,308,240,194,177,152,140,169,185,230,241,317,305,499,354,346,416,419,458,502,451,529,433,394,321,38.311688311688314,50.416666666666664,42.78350515463917,31.63841807909605,38.15789473684211,30.714285714285715,23.668639053254438,27.56756756756757,27.82608695652174,34.439834024896264,34.06940063091483,38.68852459016394,30.060120240480963,43.78531073446328,34.104046242774565,33.65384615384615,37.70883054892602,35.37117903930131,38.24701195219124,37.028824833702885,37.61814744801512,42.032332563510394,40.86294416243655,35.82554517133956,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Hollywood,477,353,301,257,184,170,203,201,327,384,423,389,717,470,492,525,520,625,547,533,550,500,485,472,41.090146750524106,51.55807365439094,51.162790697674424,50.19455252918288,53.80434782608695,41.17647058823529,38.91625615763547,41.7910447761194,35.47400611620795,35.15625,38.77068557919622,36.760925449871465,32.07810320781032,33.191489361702125,35.56910569105691,35.23809523809524,35.76923076923077,37.12,35.64899451553931,39.02439024390244,36.54545454545455,39.0,43.91752577319588,44.27966101694915,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Mission,311,248,181,176,147,139,196,228,294,274,306,337,602,368,368,436,471,489,533,469,546,471,446,382,37.942122186495176,41.935483870967744,37.569060773480665,25.568181818181817,31.292517006802722,23.021582733812952,36.734693877551024,29.385964912280706,32.31292517006803,31.386861313868614,29.08496732026144,37.68545994065282,30.564784053156146,33.96739130434783,36.41304347826087,31.422018348623855,32.05944798301486,29.243353783231086,35.647279549718576,31.982942430703627,31.868131868131865,40.552016985138,40.582959641255606,43.717277486910994,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
