Year,Gender_M,Gender_F,Gender_X,Ethnicity_H,Ethnicity_W,Ethnicity_B,Ethnicity_X,Ethnicity_O,Ethnicity_A,Ethnicity_K,Ethnicity_F,Ethnicity_C,Ethnicity_I,Ethnicity_J,Ethnicity_P,Ethnicity_V,Ethnicity_U,Ethnicity_Z,Ethnicity_S,Ethnicity_D,Ethnicity_G,AgeRange_20-29,AgeRange_Unknown,AgeRange_30-39,AgeRange_40-49,AgeRange_0-9,AgeRange_50-59,AgeRange_10-19,AgeRange_60-69,AgeRange_70-79,AgeRange_80-89,AgeRange_90-99,AgeRange_-10--1,AgeRange_-20--11,Ethnicity_L,AgeRange_110-119,Gender_N
2010.0,97911,89998,20548,73264,53711,33844,22758,18840,4411,1038,275,82,76,54,46,18,14,11,7.0,4.0,4,41131,35098,33392,28955,20934,19305,16327,8424,3183,1369,306,29.0,4.0,,,
2011.0,93645,87684,18703,70609,51008,32482,21322,18888,4386,812,268,67,76,31,31,11,20,4,2.0,4.0,8,39889,32061,32181,27934,20001,19425,14789,8667,3270,1487,297,29.0,2.0,3.0,,
2012.0,94256,88031,18821,70118,51733,33486,20947,18946,4446,922,270,62,71,25,28,13,25,5,4.0,1.0,5,39689,32304,32821,27787,19564,20253,14351,9144,3440,1446,288,21.0,,1.0,,
2013.0,89939,83851,18376,66563,48346,31908,20609,18876,4451,882,274,72,88,24,28,14,9,12,2.0,2.0,3,37933,30673,31466,26627,18323,19978,12690,9256,3451,1417,328,24.0,,3.0,,
2014.0,90934,85007,19206,68519,47415,32876,21111,19074,4690,1004,226,53,74,30,30,6,20,5,,2.0,11,39030,31274,32797,26529,18032,20311,12238,9615,3628,1380,304,8.0,,1.0,1.0,
2015.0,100327,90686,24116,74319,52644,33934,26119,21113,5383,1073,216,78,101,30,53,10,33,7,2.0,,13,42321,36009,35518,28588,19721,23071,12445,11404,4236,1476,334,6.0,,1.0,,
2016.0,102375,93145,29649,77341,52514,34176,32092,21878,5631,943,230,124,120,28,43,15,7,7,5.0,2.0,11,42664,41549,37529,29265,20112,23342,12757,11841,4276,1432,396,6.0,,2.0,,
2017.0,104466,93890,32504,78099,52648,34617,34912,23322,5834,870,232,117,100,23,33,10,19,7,4.0,1.0,12,42475,43991,38295,29914,20628,23599,12806,12467,4727,1560,396,2.0,,,,
2018.0,102805,92683,33423,75753,52124,35255,35953,22118,6203,860,247,137,103,47,27,38,17,26,3.0,4.0,10,42126,42213,39453,28874,20660,23455,12582,12746,4863,1537,414,3.0,,2.0,1.0,16.0
2019.0,96580,86969,34468,72229,48732,33069,36541,19736,5759,823,356,295,148,126,32,78,17,56,2.0,4.0,8,40114,41207,37963,26790,19783,21624,11915,12288,4502,1433,399,,,7.0,,1.0
2020.0,84549,72531,41629,61407,42477,28657,43402,16114,4444,820,482,391,100,161,41,120,18,39,9.0,7.0,15,32899,47630,34273,23633,16966,18774,8677,10698,3795,1080,284,,,5.0,,
2021.0,87756,76884,44200,63448,44408,30062,46010,16565,4314,1282,969,768,202,307,56,229,47,114,14.0,15.0,16,35521,49977,36944,24614,18833,19128,7035,11172,4209,1154,253,,,14.0,,
2022.0,95351,89354,49284,72834,46530,34510,51531,18344,5281,1310,1172,1153,296,387,74,287,57,154,13.0,23.0,15,41143,55397,42637,27625,19195,20659,8573,12351,4728,1341,340,,,18.0,,
2023.0,91281,82636,56769,69099,44394,30373,58686,18089,5173,1358,1127,1143,239,371,67,292,51,144,13.0,28.0,18,38365,62725,39643,26180,17771,18925,8450,11934,5005,1354,334,,,21.0,,
2024.0,30726,26410,28793,21903,15458,8981,29471,6118,1599,666,582,579,98,185,27,143,33,54,5.0,11.0,5,13198,30664,13178,8599,5870,5915,2648,3784,1544,425,104,,,11.0,,
