Year,District,TotalCrimes,MostFrequentCrime,CrimeCount,DistrictIndex
2010.0,77th Street,14373,ASSAULT,3746,0.5901918597403666
2010.0,Central,7111,THEFT,1889,0.011163812109715896
2010.0,Devonshire,10609,THEFT,3099,0.40224952132775094
2010.0,Foothill,9281,THEFT,2189,0.03877621945653444
2010.0,Harbor,9550,THEFT,2262,0.08986221776225085
2010.0,Hollenbeck,7371,ASSAULT,1593,0.18061798481325392
2010.0,Hollywood,9175,THEFT,2624,0.2906223807026484
2010.0,Mission,10503,THEFT,2307,0.15170233242073183
2010.0,N Hollywood,11330,THEFT,3119,0.19255505502368198
2010.0,Newton,9943,ASSAULT,2327,0.4611401196619164
2010.0,Northeast,10584,THEFT,2690,0.12249931989385386
2010.0,Olympic,8731,THEFT,1859,0.6556210426983761
2010.0,Pacific,11065,THEFT,3909,0.15688735930787134
2010.0,Rampart,8674,ASSAULT,2230,0.7435821366445992
2010.0,Southeast,11032,ASSAULT,2969,0.5434829746176352
2010.0,Southwest,13611,THEFT,3049,0.5062569806709647
2010.0,Topanga,9878,THEFT,3177,0.09166191216188814
2010.0,Van Nuys,10054,THEFT,2814,0.2310455828786957
2010.0,West LA,8179,THEFT,2892,0.0002605675092910791
2010.0,West Valley,9243,THEFT,2448,0.07766452612508037
2010.0,Wilshire,8160,THEFT,2267,0.29462583076228915
2011.0,77th Street,14219,ASSAULT,3620,0.5832018040969227
2011.0,Central,7152,ASSAULT,1942,0.011541725939778473
2011.0,Devonshire,9609,THEFT,2797,0.3582558438636396
2011.0,Foothill,8491,THEFT,2079,0.030025582004853675
2011.0,Harbor,9780,THEFT,2272,0.09339332227440017
2011.0,Hollenbeck,6527,ASSAULT,1506,0.1524094267216021
2011.0,Hollywood,9207,THEFT,2689,0.29181528420579234
2011.0,Mission,10489,THEFT,2383,0.15141406954972567
2011.0,N Hollywood,10669,THEFT,3161,0.17740569856390118
2011.0,Newton,9304,ASSAULT,2151,0.42737292447930747
2011.0,Northeast,9810,THEFT,2710,0.10863586173238882
2011.0,Olympic,7967,THEFT,1742,0.5926130051259224
2011.0,Pacific,10336,THEFT,3602,0.14229082685094163
2011.0,Rampart,8408,ASSAULT,2176,0.7187730103707228
2011.0,Southeast,10993,ASSAULT,2939,0.541345236395675
2011.0,Southwest,12826,THEFT,3017,0.4732777099692868
2011.0,Topanga,9068,THEFT,3206,0.07866490826007062
2011.0,Van Nuys,9505,THEFT,2864,0.2147471299075879
2011.0,West LA,8598,THEFT,3050,0.003590243262524225
2011.0,West Valley,8806,THEFT,2610,0.07069911025881387
2011.0,Wilshire,8268,THEFT,2456,0.29922126289514783
2012.0,77th Street,14266,ASSAULT,3646,0.5853311536755188
