Year,District,TotalCrimes,MostFrequentCrime,CrimeCount,DistrictIndex
2010.0,77th Street,14373,ASSAULT,3746,0.605149551084194
2010.0,Central,7111,THEFT,1889,0.41251841283578217
2010.0,Devonshire,10609,THEFT,3099,0.4132591992077692
2010.0,Foothill,9281,THEFT,2189,0.29064542185784925
2010.0,Harbor,9550,THEFT,2262,0.310556115898388
2010.0,Hollenbeck,7371,ASSAULT,1593,0.28064335087311476
2010.0,Hollywood,9175,THEFT,2624,0.35499832623469324
2010.0,Mission,10503,THEFT,2307,0.359439309889074
2010.0,N Hollywood,11330,THEFT,3119,0.3825877444837236
2010.0,Newton,9943,ASSAULT,2327,0.4380442533322102
2010.0,Northeast,10584,THEFT,2690,0.3455813897155179
2010.0,Olympic,8731,THEFT,1859,0.4477935884181713
2010.0,Pacific,11065,THEFT,3909,0.3635175395294473
2010.0,Rampart,8674,ASSAULT,2230,0.47615660286513806
2010.0,Southeast,11032,ASSAULT,2969,0.49263818683330474
2010.0,Southwest,13611,THEFT,3049,0.549469656485952
2010.0,Topanga,9878,THEFT,3177,0.3135280252276753
2010.0,Van Nuys,10054,THEFT,2814,0.3594197694049807
2010.0,West LA,8179,THEFT,2892,0.23830332363863813
2010.0,West Valley,9243,THEFT,2448,0.2946252612800718
2010.0,Wilshire,8160,THEFT,2267,0.3243974778302471
2011.0,77th Street,14219,ASSAULT,3620,0.5952271171912014
2011.0,Central,7152,ASSAULT,1942,0.4139795172892705
2011.0,Devonshire,9609,THEFT,2797,0.3758610474414448
2011.0,Foothill,8491,THEFT,2079,0.26692206705476185
2011.0,Harbor,9780,THEFT,2272,0.31710815961598404
2011.0,Hollenbeck,6527,ASSAULT,1506,0.24800571112556713
2011.0,Hollywood,9207,THEFT,2689,0.3559626973596848
2011.0,Mission,10489,THEFT,2383,0.3570494854782507
2011.0,N Hollywood,10669,THEFT,3161,0.36023297726777864
2011.0,Newton,9304,ASSAULT,2151,0.40941781285627094
2011.0,Northeast,9810,THEFT,2710,0.31841034521007194
2011.0,Olympic,7967,THEFT,1742,0.4075275105149392
2011.0,Pacific,10336,THEFT,3602,0.33946941392967567
2011.0,Rampart,8408,ASSAULT,2176,0.46064869273140285
2011.0,Southeast,10993,ASSAULT,2939,0.4911215604665554
2011.0,Southwest,12826,THEFT,3017,0.5161469501712236
2011.0,Topanga,9068,THEFT,3206,0.28781525927140567
2011.0,Van Nuys,9505,THEFT,2864,0.3387627962990159
2011.0,West LA,8598,THEFT,3050,0.24911027077710354
2011.0,West Valley,8806,THEFT,2610,0.27941485863467913
2011.0,Wilshire,8268,THEFT,2456,0.3264314333779608
2012.0,77th Street,14266,ASSAULT,3646,0.5959531254757351
2012.0,Central,8065,THEFT,2261,0.46455707142913494
2012.0,Devonshire,9421,THEFT,2825,0.3685079555596001
2012.0,Foothill,7891,THEFT,2038,0.24621904566120395
2012.0,Harbor,9372,THEFT,2312,0.30638454959255346
2012.0,Hollenbeck,7057,THEFT,1588,0.2663826427134183
2012.0,Hollywood,9315,THEFT,2946,0.36081148017558945
2012.0,Mission,10544,THEFT,2545,0.36064752244133474
2012.0,N Hollywood,11265,THEFT,3621,0.3795540947646193
2012.0,Newton,8866,ASSAULT,2038,0.385564388791751
2012.0,Northeast,9838,THEFT,2675,0.31915659635080035
2012.0,Olympic,8521,THEFT,2078,0.435253197262592
2012.0,Pacific,10289,THEFT,3535,0.3358259668353317
2012.0,Rampart,8592,ASSAULT,2076,0.46911399478739635
2012.0,Southeast,10557,ASSAULT,2853,0.4697540143717751
2012.0,Southwest,13080,THEFT,3358,0.5251388668000194
2012.0,Topanga,8911,THEFT,3262,0.28283593581588906
2012.0,Van Nuys,9641,THEFT,3129,0.34380765779593003
2012.0,West LA,8575,THEFT,3314,0.2487192243300516
2012.0,West Valley,9006,THEFT,2772,0.28416701826346197
2012.0,Wilshire,8036,THEFT,2492,0.3197477051053933
2013.0,77th Street,13712,ASSAULT,3501,0.5714935811347501
2013.0,Central,7574,THEFT,2100,0.434659044189629
2013.0,Devonshire,8657,THEFT,2838,0.33714905236349146
2013.0,Foothill,7471,THEFT,1874,0.23157190686284349
2013.0,Harbor,8389,THEFT,2316,0.2716697736607831
2013.0,Hollenbeck,6677,THEFT,1507,0.2502868745519452
2013.0,Hollywood,8502,THEFT,2769,0.32797461139898665
2013.0,Mission,10265,THEFT,2637,0.3473734636270504
2013.0,N Hollywood,10933,THEFT,3506,0.36756614676678556
2013.0,Newton,8610,ASSAULT,1888,0.37161722247322904
2013.0,Northeast,9265,THEFT,2705,0.29886215276317457
2013.0,Olympic,8277,THEFT,2084,0.42229008371769805
2013.0,Pacific,10082,THEFT,3723,0.3296714516343004
2013.0,Rampart,8126,ASSAULT,2099,0.4417436365229994
2013.0,Southeast,10154,ASSAULT,2770,0.45022558956110514
2013.0,Southwest,12690,THEFT,3523,0.5075686099375081
2013.0,Topanga,9060,THEFT,3236,0.28658996613368776
2013.0,Van Nuys,9341,THEFT,3159,0.33237506096648023
2013.0,West LA,8158,THEFT,3059,0.23764506815286235
2013.0,West Valley,8398,THEFT,2527,0.2668119608394959
2013.0,Wilshire,7825,THEFT,2533,0.3104665255199186
2014.0,77th Street,14026,ASSAULT,3911,0.5862096288257739
2014.0,Central,8380,ASSAULT,2342,0.48280495073136515
2014.0,Devonshire,8639,THEFT,3146,0.3394755352953748
2014.0,Foothill,7128,THEFT,1982,0.22267274617340513
2014.0,Harbor,8260,THEFT,2186,0.2695678656792256
2014.0,Hollenbeck,6892,ASSAULT,1545,0.2601221367672724
2014.0,Hollywood,8567,THEFT,2554,0.33243620535312796
2014.0,Mission,9931,THEFT,2765,0.33670232076448026
2014.0,N Hollywood,10370,THEFT,3450,0.3480964340755942
2014.0,Newton,9194,ASSAULT,2261,0.3988294625936353
2014.0,Northeast,9672,THEFT,2692,0.3126741672624781
2014.0,Olympic,9127,ASSAULT,2308,0.46655173930258087
2014.0,Pacific,10709,THEFT,4019,0.3492709749315297
2014.0,Rampart,8543,ASSAULT,2272,0.46299638088383716
2014.0,Southeast,10530,ASSAULT,3028,0.46923022047972063
2014.0,Southwest,12965,THEFT,3522,0.5213083727749062
2014.0,Topanga,8763,THEFT,3250,0.27929637599680746
2014.0,Van Nuys,9435,THEFT,3099,0.33716605173238345
2014.0,West LA,8178,THEFT,3040,0.2392908729449956
2014.0,West Valley,7918,THEFT,2434,0.25169496438961
2014.0,Wilshire,7920,THEFT,2475,0.3151052173704548
2015.0,77th Street,14631,ASSAULT,4120,0.6119698021353687
2015.0,Central,10355,ASSAULT,2836,0.5966658679825538
2015.0,Devonshire,10003,THEFT,3634,0.3908419954705604
2015.0,Foothill,7694,THEFT,2178,0.2380103259417317
2015.0,Harbor,9485,THEFT,2489,0.30537777950364137
2015.0,Hollenbeck,8004,ASSAULT,1961,0.30140582605933597
2015.0,Hollywood,9765,THEFT,2977,0.37758290567907865
2015.0,Mission,10611,THEFT,2849,0.35919716738755875
2015.0,N Hollywood,11785,THEFT,4120,0.3956166641542246
2015.0,Newton,9653,ASSAULT,2529,0.4205472400226037
2015.0,Northeast,10250,THEFT,3005,0.330478726764888
2015.0,Olympic,9837,THEFT,2441,0.5010459498868831
2015.0,Pacific,11703,THEFT,4401,0.38247582368894417
2015.0,Rampart,9283,ASSAULT,2399,0.5051559016915006
2015.0,Southeast,11089,ASSAULT,3127,0.49119041140761205
2015.0,Southwest,13885,THEFT,3800,0.5581620362986826
2015.0,Topanga,9900,THEFT,3778,0.3151546581501215
2015.0,Van Nuys,10444,THEFT,3457,0.37268636333259275
2015.0,West LA,9701,THEFT,3579,0.28369603440742347
2015.0,West Valley,8695,THEFT,2771,0.27506636743980784
2015.0,Wilshire,8356,THEFT,2862,0.33156516972442873
2016.0,77th Street,15372,ASSAULT,4130,0.6436214789277742
2016.0,Central,10942,THEFT,3056,0.6291914206256779
2016.0,Devonshire,10336,THEFT,3810,0.4045740623517958
2016.0,Foothill,7954,THEFT,2073,0.2470467393789401
2016.0,Harbor,9527,THEFT,2081,0.31177871421721143
2016.0,Hollenbeck,9178,ASSAULT,2269,0.3461528325198032
2016.0,Hollywood,10598,THEFT,3016,0.40885917961507906
2016.0,Mission,11038,THEFT,2842,0.37341423624502484
2016.0,N Hollywood,12066,THEFT,3937,0.4028085254752476
2016.0,Newton,11028,ASSAULT,2794,0.4798039445387331
2016.0,Northeast,10380,THEFT,2866,0.3356163201456882
2016.0,Olympic,10571,THEFT,2502,0.536055967346365
2016.0,Pacific,11759,THEFT,4120,0.38432863250386323
2016.0,Rampart,9184,ASSAULT,2255,0.497642620402137
2016.0,Southeast,11493,ASSAULT,3095,0.5089294625325036
2016.0,Southwest,14169,THEFT,3419,0.569227069228044
2016.0,Topanga,10997,THEFT,4059,0.34911678571350074
2016.0,Van Nuys,10471,THEFT,3373,0.3740300742333419
2016.0,West LA,9375,THEFT,3418,0.27309787061179475
2016.0,West Valley,9669,THEFT,2926,0.30486787698444645
2016.0,Wilshire,9062,THEFT,2816,0.3575505238400636
2017.0,77th Street,15487,ASSAULT,4284,0.6495529082362245
2017.0,Central,11917,ASSAULT,3267,0.6854256310379836
2017.0,Devonshire,10646,THEFT,3708,0.4173502248253653
2017.0,Foothill,8169,THEFT,2157,0.2535050355866317
2017.0,Harbor,9671,THEFT,2179,0.31568871147027133
2017.0,Hollenbeck,9042,ASSAULT,2165,0.3411506277546255
2017.0,Hollywood,11294,THEFT,3019,0.4353608070769182
2017.0,Mission,10849,THEFT,2771,0.367234145936578
2017.0,N Hollywood,12400,THEFT,3776,0.41808434482697726
2017.0,Newton,11720,ASSAULT,2912,0.5085986722855281
2017.0,Northeast,10508,THEFT,2748,0.3402802062861353
2017.0,Olympic,11128,THEFT,2599,0.5662393649590206
2017.0,Pacific,12056,THEFT,3871,0.39576902948463716
2017.0,Rampart,9630,ASSAULT,2375,0.5224087475866516
2017.0,Southeast,11844,ASSAULT,3226,0.5273962242727095
2017.0,Southwest,14275,THEFT,3298,0.5731310459638845
2017.0,Topanga,10806,THEFT,3983,0.34424632012223466
2017.0,Van Nuys,10781,THEFT,3362,0.3850864472725028
2017.0,West LA,9028,THEFT,2971,0.26465290032142164
2017.0,West Valley,9740,THEFT,2874,0.30956743569302314
2017.0,Wilshire,9869,THEFT,2908,0.39080317676616005
2018.0,77th Street,14961,ASSAULT,4056,0.6269261066658367
2018.0,Central,13185,ASSAULT,3566,0.7573829264756067
2018.0,Devonshire,9556,THEFT,3203,0.3774309002745112
2018.0,Foothill,8075,THEFT,2146,0.2515774546583674
2018.0,Harbor,9094,THEFT,2088,0.29903716112543227
2018.0,Hollenbeck,8795,ASSAULT,2180,0.3318694497781433
2018.0,Hollywood,11408,THEFT,3328,0.4386606238845884
2018.0,Mission,10164,THEFT,2483,0.34661215790796834
2018.0,N Hollywood,12051,THEFT,3833,0.40624646341519904
2018.0,Newton,10883,ASSAULT,2822,0.47408584707675494
2018.0,Northeast,10287,THEFT,2733,0.33343986536388703
2018.0,Olympic,11007,THEFT,2570,0.5593552472155655
2018.0,Pacific,12153,THEFT,4150,0.3987016871840698
2018.0,Rampart,9668,ASSAULT,2416,0.5239672827146611
2018.0,Southeast,11946,ASSAULT,3272,0.5306109098928177
2018.0,Southwest,14362,THEFT,3676,0.5757518276301439
2018.0,Topanga,10577,THEFT,3810,0.33860931358420765
2018.0,Van Nuys,10456,THEFT,3336,0.3743491744927663
2018.0,West LA,10057,THEFT,3066,0.29537469771187985
2018.0,West Valley,9495,THEFT,2802,0.30404207434058933
2018.0,Wilshire,10747,THEFT,3204,0.4253532299138537
2019.0,77th Street,14199,ASSAULT,3995,0.5969346611923443
2019.0,Central,13558,THEFT,3821,0.7790369159852544
2019.0,Devonshire,9013,THEFT,3191,0.356916900334007
2019.0,Foothill,7610,THEFT,1896,0.23835479111927932
2019.0,Harbor,8697,ASSAULT,2128,0.2871526792359316
2019.0,Hollenbeck,8338,ASSAULT,2017,0.313480965874687
2019.0,Hollywood,11146,THEFT,3281,0.4299108905117248
2019.0,Mission,9169,THEFT,2328,0.31369162358844993
2019.0,N Hollywood,11110,THEFT,3405,0.3739120160708741
2019.0,Newton,10728,ASSAULT,2809,0.4666224891241255
2019.0,Northeast,9640,THEFT,2648,0.3121366115065143
2019.0,Olympic,10260,THEFT,2709,0.521069728937484
2019.0,Pacific,12217,THEFT,4330,0.4008779894267448
2019.0,Rampart,9535,ASSAULT,2467,0.5180350765267172
2019.0,Southeast,11687,ASSAULT,3412,0.5225235207426117
2019.0,Southwest,13516,THEFT,3388,0.5425456934698856
2019.0,Topanga,9685,THEFT,3652,0.30867529745063443
2019.0,Van Nuys,9594,THEFT,3117,0.3453797212694806
2019.0,West LA,9230,THEFT,3040,0.2703161327017882
2019.0,West Valley,8694,THEFT,2556,0.27932757020668636
2019.0,Wilshire,10392,THEFT,3289,0.4117281262273916
2020.0,77th Street,13279,ASSAULT,4012,0.5613683864781058
2020.0,Central,11505,ASSAULT,3055,0.6580581475513054
2020.0,Devonshire,7936,THEFT,2627,0.44507918897113424
2020.0,Foothill,7041,THEFT,1573,0.21989024998557688
2020.0,Harbor,8830,ASSAULT,2027,0.2891143134895907
2020.0,Hollenbeck,7780,ASSAULT,1846,0.29198039387026464
2020.0,Hollywood,10105,THEFT,2691,0.39104368464444533
2020.0,Mission,8418,THEFT,1907,0.28742246485884804
2020.0,N Hollywood,10123,THEFT,2886,0.342627631847034
2020.0,Newton,9949,ASSAULT,2515,0.43042233731718393
2020.0,Northeast,8411,THEFT,2325,0.2716960137108684
2020.0,Olympic,9600,ASSAULT,2270,0.4887551351615249
2020.0,Pacific,11505,THEFT,3520,0.37923393534301714
2020.0,Rampart,8988,ASSAULT,2342,0.48601199102108406
2020.0,Southeast,10766,ASSAULT,3256,0.4804004045149378
2020.0,Southwest,11132,ASSAULT,2804,0.44934423194486944
2020.0,Topanga,8080,THEFT,2503,0.259626015843962
2020.0,Van Nuys,8736,THEFT,2522,0.31327140969599865
2020.0,West LA,9269,THEFT,3004,0.2711357204040714
2020.0,West Valley,8051,THEFT,2199,0.2595065659014949
2020.0,Wilshire,9205,THEFT,2596,0.36661212966596635
2021.0,77th Street,13028,ASSAULT,3756,0.5485732703908809
2021.0,Central,13127,ASSAULT,3258,0.7497202299453191
2021.0,Devonshire,8455,THEFT,2655,0.4760869803698419
2021.0,Foothill,7010,THEFT,1814,0.21783569629522812
2021.0,Harbor,8810,ASSAULT,2044,0.2886420554474679
2021.0,Hollenbeck,7963,ASSAULT,1911,0.29987359402398844
2021.0,Hollywood,12058,THEFT,3163,0.4664341447040279
2021.0,Mission,8175,THEFT,2104,0.27941907920923054
2021.0,N Hollywood,10890,THEFT,3224,0.36798642779255375
2021.0,Newton,9863,ASSAULT,2632,0.4282686884652954
2021.0,Northeast,9309,THEFT,2713,0.30130480229757994
2021.0,Olympic,10797,THEFT,2582,0.549477412113798
2021.0,Pacific,12861,THEFT,4028,0.42042922997992843
2021.0,Rampart,9421,ASSAULT,2425,0.5089277166583837
2021.0,Southeast,10372,ASSAULT,3038,0.4609619130569258
2021.0,Southwest,11364,ASSAULT,2757,0.45824523548389307
2021.0,Topanga,8557,THEFT,2843,0.2747735250099884
2021.0,Van Nuys,8667,THEFT,2609,0.31005352257096513
2021.0,West LA,9879,THEFT,3201,0.2876260331000104
2021.0,West Valley,8515,THEFT,2385,0.2736551748949796
2021.0,Wilshire,9719,THEFT,2854,0.3863968592702696
2022.0,77th Street,14479,ASSAULT,3739,0.6056716320597505
2022.0,Central,17622,THEFT,4324,1.0
2022.0,Devonshire,9498,THEFT,3454,0.5345045910400168
2022.0,Foothill,7819,THEFT,2619,0.24365655809397702
2022.0,Harbor,9133,THEFT,2113,0.30154508785017264
2022.0,Hollenbeck,8488,THEFT,2157,0.31872247122931613
2022.0,Hollywood,12486,THEFT,3460,0.48064636971155184
2022.0,Mission,9236,THEFT,2938,0.31476369005933763
2022.0,N Hollywood,11149,THEFT,3577,0.3760334951400048
2022.0,Newton,11892,THEFT,2950,0.5152181897202469
2022.0,Northeast,10135,THEFT,3194,0.3273743538862877
2022.0,Olympic,12007,THEFT,3103,0.608404071611128
2022.0,Pacific,12965,THEFT,4556,0.42435437548245913
2022.0,Rampart,11160,THEFT,3062,0.602815861296303
2022.0,Southeast,11668,ASSAULT,3113,0.5186415058620877
2022.0,Southwest,13343,THEFT,4074,0.5310794419736934
2022.0,Topanga,9426,THEFT,3332,0.30446922639952845
2022.0,Van Nuys,9661,THEFT,3128,0.3458316255740966
2022.0,West LA,10466,THEFT,3911,0.30401432681526513
2022.0,West Valley,10236,THEFT,3121,0.3288408801374269
2022.0,Wilshire,11120,THEFT,3968,0.4385874588522891
2023.0,77th Street,13843,ASSAULT,3842,0.5822196394799541
2023.0,Central,16848,ASSAULT,3841,0.952849633503117
2023.0,Devonshire,9672,THEFT,3486,0.543619362245229
2023.0,Foothill,7105,THEFT,1895,0.2240053360941633
2023.0,Harbor,9057,THEFT,2048,0.2980093357654423
2023.0,Hollenbeck,8344,THEFT,2007,0.3126676440260919
2023.0,Hollywood,11385,THEFT,3309,0.43981331663962175
2023.0,Mission,8931,THEFT,2534,0.3058998804654397
2023.0,N Hollywood,11487,THEFT,3629,0.3853780504730688
2023.0,Newton,11863,ASSAULT,2926,0.511914746797358
2023.0,Northeast,9653,THEFT,3057,0.3106744739836077
2023.0,Olympic,11666,THEFT,2801,0.5896156684984071
2023.0,Pacific,13653,THEFT,5270,0.44704238313942135
2023.0,Rampart,11425,THEFT,3013,0.615303285212367
2023.0,Southeast,11208,ASSAULT,3203,0.5000090767685903
2023.0,Southwest,13030,THEFT,3358,0.5164373865307657
2023.0,Topanga,9594,THEFT,3664,0.3081642275830843
2023.0,Van Nuys,9892,THEFT,3323,0.35340697148927513
2023.0,West LA,10513,THEFT,4365,0.30535910863171106
2023.0,West Valley,9881,THEFT,2712,0.31715817908333294
2023.0,Wilshire,11636,THEFT,4277,0.45921919608299505
