Year,District,TotalCrimes,MostFrequentCrime,CrimeCount,DistrictIndex
2010.0,77th Street,14373,ASSAULT,3746,0.4328412412906167
2010.0,Central,7111,THEFT,1889,0.360943704263004
2010.0,Devonshire,10609,THEFT,3099,0.5574462062806638
2010.0,Foothill,9281,THEFT,2189,0.9306785417414212
2010.0,Harbor,9550,THEFT,2262,1.0
2010.0,Hollenbeck,7371,ASSAULT,1593,0.6948158090351769
2010.0,Hollywood,9175,THEFT,2624,0.6613652645461062
2010.0,Mission,10503,THEFT,2307,0.7859136650869603
2010.0,N Hollywood,11330,THEFT,3119,0.6706428055826787
2010.0,Newton,9943,ASSAULT,2327,0.6194483434421136
2010.0,Northeast,10584,THEFT,2690,0.8340329308372717
2010.0,Olympic,8731,THEFT,1859,0.7898813545176572
2010.0,Pacific,11065,THEFT,3909,0.25161462106078186
2010.0,Rampart,8674,ASSAULT,2230,0.513582941511478
2010.0,Southeast,11032,ASSAULT,2969,0.3942803649919213
2010.0,Southwest,13611,THEFT,3049,0.712452275465036
2010.0,Topanga,9878,THEFT,3177,0.38708499309835975
2010.0,Van Nuys,10054,THEFT,2814,0.6604221423432394
2010.0,West LA,8179,THEFT,2892,0.2108174197311093
2010.0,West Valley,9243,THEFT,2448,0.7389998734400749
2010.0,Wilshire,8160,THEFT,2267,0.697260549439151
2011.0,77th Street,14219,ASSAULT,3620,0.4570111575980641
2011.0,Central,7152,ASSAULT,1942,0.3090991212208025
2011.0,Devonshire,9609,THEFT,2797,0.5735943896293794
2011.0,Foothill,8491,THEFT,2079,0.9429234409202342
2011.0,Harbor,9780,THEFT,2272,0.8477393776479677
2011.0,Hollenbeck,6527,ASSAULT,1506,0.5733330270967417
2011.0,Hollywood,9207,THEFT,2689,0.6220182327241494
2011.0,Mission,10489,THEFT,2383,0.785708956230558
2011.0,N Hollywood,10669,THEFT,3161,0.5404398658978421
2011.0,Newton,9304,ASSAULT,2151,0.6378805795655946
2011.0,Northeast,9810,THEFT,2710,0.6609159080511717
2011.0,Olympic,7967,THEFT,1742,0.7921654744156081
2011.0,Pacific,10336,THEFT,3602,0.27060438916938806
2011.0,Rampart,8408,ASSAULT,2176,0.49738754310366035
2011.0,Southeast,10993,ASSAULT,2939,0.40539418096634205
2011.0,Southwest,12826,THEFT,3017,0.6594641673231049
2011.0,Topanga,9068,THEFT,3206,0.2461806417933355
2011.0,Van Nuys,9505,THEFT,2864,0.5247122240446347
2011.0,West LA,8598,THEFT,3050,0.19792694181813034
2011.0,West Valley,8806,THEFT,2610,0.526505999898705
2011.0,Wilshire,8268,THEFT,2456,0.5617256554073796
2012.0,77th Street,14266,ASSAULT,3646,0.4462195037999433
2012.0,Central,8065,THEFT,2261,0.42051659638114347
