Year,District,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_0_WeaponPercentage,Hour_1_WeaponPercentage,Hour_2_WeaponPercentage,Hour_3_WeaponPercentage,Hour_4_WeaponPercentage,Hour_5_WeaponPercentage,Hour_6_WeaponPercentage,Hour_7_WeaponPercentage,Hour_8_WeaponPercentage,Hour_9_WeaponPercentage,Hour_10_WeaponPercentage,Hour_11_WeaponPercentage,Hour_12_WeaponPercentage,Hour_13_WeaponPercentage,Hour_14_WeaponPercentage,Hour_15_WeaponPercentage,Hour_16_WeaponPercentage,Hour_17_WeaponPercentage,Hour_18_WeaponPercentage,Hour_19_WeaponPercentage,Hour_20_WeaponPercentage,Hour_21_WeaponPercentage,Hour_22_WeaponPercentage,Hour_23_WeaponPercentage,Hour_0_MostUsedWeapon,Hour_1_MostUsedWeapon,Hour_2_MostUsedWeapon,Hour_3_MostUsedWeapon,Hour_4_MostUsedWeapon,Hour_5_MostUsedWeapon,Hour_6_MostUsedWeapon,Hour_7_MostUsedWeapon,Hour_8_MostUsedWeapon,Hour_9_MostUsedWeapon,Hour_10_MostUsedWeapon,Hour_11_MostUsedWeapon,Hour_12_MostUsedWeapon,Hour_13_MostUsedWeapon,Hour_14_MostUsedWeapon,Hour_15_MostUsedWeapon,Hour_16_MostUsedWeapon,Hour_17_MostUsedWeapon,Hour_18_MostUsedWeapon,Hour_19_MostUsedWeapon,Hour_20_MostUsedWeapon,Hour_21_MostUsedWeapon,Hour_22_MostUsedWeapon,Hour_23_MostUsedWeapon
2010.0,77th Street,581,439,364,324,221,200,245,417,610,553,610,593,1052,600,649,705,701,702,838,773,873,831,781,711,45.438898450946645,60.13667425968109,58.24175824175825,50.92592592592593,53.84615384615385,48.0,38.36734693877551,35.97122302158273,31.967213114754102,39.42133815551537,39.18032786885246,47.72344013490725,36.21673003802282,45.5,47.919876733436055,48.93617021276596,46.932952924393724,48.148148148148145,47.25536992840095,49.54721862871928,50.171821305841924,52.82791817087846,45.710627400768246,52.320675105485236,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,Central,251,261,205,104,70,87,123,179,304,310,366,342,515,388,455,415,367,378,384,347,280,334,348,298,46.21513944223107,57.8544061302682,60.0,48.07692307692308,60.0,48.275862068965516,42.27642276422765,43.575418994413404,27.631578947368425,30.0,34.15300546448087,42.10526315789473,32.62135922330097,35.824742268041234,32.527472527472526,41.68674698795181,40.87193460490463,38.095238095238095,37.5,46.10951008645533,43.92857142857143,49.40119760479042,40.804597701149426,46.97986577181208,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,Devonshire,348,316,193,166,122,109,223,270,501,377,480,443,928,441,546,556,571,629,646,622,596,551,533,442,19.25287356321839,25.949367088607595,33.160621761658035,34.93975903614458,27.86885245901639,26.605504587155966,10.31390134529148,18.88888888888889,12.974051896207584,18.037135278514587,18.333333333333332,23.25056433408578,15.193965517241379,26.53061224489796,24.358974358974358,21.942446043165468,16.46234676007005,19.236883942766294,18.26625386996904,21.382636655948552,22.31543624161074,24.137931034482758,22.70168855534709,21.945701357466064,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,Foothill,477,250,184,120,95,97,143,250,452,381,365,321,759,317,375,492,492,563,564,547,526,518,542,451,27.044025157232703,40.0,40.21739130434783,37.5,37.89473684210527,36.08247422680412,17.482517482517483,17.599999999999998,19.690265486725664,20.209973753280842,30.136986301369863,33.95638629283489,22.66139657444005,35.01577287066246,35.733333333333334,33.94308943089431,37.19512195121951,31.616341030195382,31.028368794326237,34.73491773308958,36.88212927756654,37.83783783783784,36.162361623616235,39.689578713968956,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,Harbor,502,288,242,150,130,96,153,323,417,355,413,321,571,366,429,526,477,543,626,513,529,568,548,464,30.0796812749004,45.48611111111111,43.80165289256198,36.0,46.15384615384615,19.791666666666664,20.26143790849673,21.36222910216718,18.94484412470024,22.535211267605636,18.886198547215496,30.529595015576323,24.86865148861646,30.601092896174865,28.438228438228435,29.65779467680608,26.834381551362686,27.071823204419886,27.47603833865815,30.994152046783626,33.64839319470699,33.80281690140845,32.66423357664234,32.974137931034484,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,Hollenbeck,323,211,198,100,89,77,112,183,279,257,298,258,529,306,325,406,372,411,412,463,468,486,422,386,40.55727554179567,51.65876777251185,43.43434343434344,44.0,50.56179775280899,44.15584415584416,20.535714285714285,34.42622950819672,25.448028673835125,34.24124513618677,33.557046979865774,34.49612403100775,28.92249527410208,43.790849673202615,42.15384615384615,42.364532019704434,43.01075268817204,35.523114355231144,34.46601941747573,40.38876889848812,44.44444444444444,43.415637860082306,42.65402843601896,40.41450777202073,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,Hollywood,625,567,524,264,165,91,103,147,356,279,353,286,619,337,336,366,375,387,454,472,468,470,541,590,37.28,57.14285714285714,61.25954198473282,61.74242424242424,53.333333333333336,50.54945054945055,37.86407766990291,23.809523809523807,11.797752808988763,24.014336917562723,26.062322946175637,26.223776223776223,19.87075928917609,31.750741839762615,34.82142857142857,30.05464480874317,30.666666666666664,26.356589147286826,25.770925110132158,29.02542372881356,26.70940170940171,32.12765957446809,29.75970425138632,35.08474576271187,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,Mission,482,264,206,157,87,118,198,297,488,354,401,386,997,384,464,571,507,599,650,577,586,591,617,522,37.75933609958506,40.15151515151515,52.42718446601942,38.21656050955414,35.63218390804598,27.966101694915253,20.707070707070706,23.232323232323232,16.188524590163937,22.598870056497177,28.6783042394015,33.93782383419689,23.470411233701103,33.07291666666667,33.4051724137931,39.229422066549915,35.50295857988166,34.223706176961606,36.30769230769231,32.755632582322356,34.30034129692833,39.08629441624365,33.873581847649916,41.7624521072797,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,N Hollywood,616,363,285,192,127,103,173,239,440,368,483,388,1131,416,494,548,562,591,658,659,684,634,615,561,26.785714285714285,38.56749311294766,49.122807017543856,39.58333333333333,40.15748031496063,24.271844660194176,17.91907514450867,17.573221757322173,15.227272727272728,14.402173913043478,19.461697722567287,28.865979381443296,14.235190097259062,25.240384615384613,26.518218623481783,23.175182481751825,30.2491103202847,18.61252115059222,24.46808510638298,25.493171471927162,22.953216374269005,25.55205047318612,27.479674796747965,30.481283422459892,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,Newton,365,274,198,143,125,128,177,319,433,349,404,440,680,461,477,559,511,565,611,558,602,571,534,459,43.013698630136986,59.12408759124088,54.54545454545454,46.85314685314685,52.0,42.1875,27.683615819209038,34.1692789968652,33.25635103926097,40.40114613180516,39.10891089108911,43.63636363636363,37.64705882352941,47.722342733188725,47.16981132075472,44.18604651162791,46.96673189823875,48.49557522123894,48.28150572831424,52.32974910394266,43.18936877076412,52.1891418563923,43.07116104868914,47.276688453159046,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
